Frequency (Hz)	Level (dB)
1.464844	-137.128189
2.929688	-137.128204
4.394531	-137.128250
5.859375	-137.128281
7.324219	-137.128342
8.789063	-137.128387
10.253906	-137.128479
11.718750	-137.128555
13.183594	-137.128677
14.648438	-137.128754
16.113281	-137.128906
17.578125	-137.129028
19.042969	-137.129089
20.507813	-137.129303
21.972656	-137.129440
23.437500	-137.129623
24.902344	-137.129837
26.367188	-137.130035
27.832031	-137.130264
29.296875	-137.130432
30.761719	-137.130600
32.226563	-137.130814
33.691406	-137.131058
35.156250	-137.131287
36.621094	-137.131531
38.085938	-137.131729
39.550781	-137.131989
41.015625	-137.132233
42.480469	-137.132416
43.945313	-137.132706
45.410156	-137.132950
46.875000	-137.133179
48.339844	-137.133438
49.804688	-137.133652
51.269531	-137.133804
52.734375	-137.134140
54.199219	-137.134369
55.664063	-137.134598
57.128906	-137.134796
58.593750	-137.134979
60.058594	-137.135178
61.523438	-137.135376
62.988281	-137.135635
64.453125	-137.135803
65.917969	-137.136047
67.382813	-137.136124
68.847656	-137.136261
70.312500	-137.136398
71.777344	-137.136520
73.242188	-137.136642
74.707031	-137.136734
76.171875	-137.136627
77.636719	-137.136932
79.101563	-137.136993
80.566406	-137.136963
82.031250	-137.137024
83.496094	-137.137009
84.960938	-137.137054
86.425781	-137.137100
87.890625	-137.136765
89.355469	-137.136703
90.820313	-137.136627
92.285156	-137.136444
93.750000	-137.136612
95.214844	-137.136292
96.679688	-137.136292
98.144531	-137.136169
99.609375	-137.135864
101.074219	-137.135635
102.539063	-137.135315
104.003906	-137.135223
105.468750	-137.134888
106.933594	-137.134567
108.398438	-137.134018
109.863281	-137.133865
111.328125	-137.133621
112.792969	-137.133118
114.257813	-137.132858
115.722656	-137.132339
117.187500	-137.132370
118.652344	-137.131485
120.117188	-137.131454
121.582031	-137.131012
123.046875	-137.130234
124.511719	-137.130295
125.976563	-137.129517
127.441406	-137.128937
128.906250	-137.128601
130.371094	-137.127853
131.835938	-137.127396
133.300781	-137.127151
134.765625	-137.126007
136.230469	-137.126205
137.695313	-137.126648
139.160156	-137.124939
140.625000	-137.125443
142.089844	-137.123978
143.554688	-137.123688
145.019531	-137.122757
146.484375	-137.122467
147.949219	-137.121841
149.414063	-137.121506
150.878906	-137.122040
